<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.10.13	1.59668	1.62247	1.58938	1.61638	173046	0	1
2013.10.20	1.61712	1.62562	1.61154	1.61619	169528	0	1
2013.10.27	1.61729	1.62079	1.59086	1.59214	193409	0	1
2013.11.03	1.59270	1.61175	1.59032	1.60126	182308	0	1
2013.11.10	1.60072	1.61340	1.58539	1.61142	191725	0	1
2013.11.17	1.61197	1.62252	1.60593	1.62212	202933	0	1
2013.11.24	1.62351	1.63841	1.61333	1.63611	174347	0	1
2013.12.01	1.63739	1.64423	1.62916	1.63454	214980	0	1
2013.12.08	1.63460	1.64652	1.62623	1.62914	178127	0	1
2013.12.15	1.63055	1.64841	1.62175	1.63279	194636	0	1
2013.12.22	1.63273	1.65775	1.63215	1.64787	108748	0	1
2013.12.29	1.64883	1.66030	1.63952	1.64151	157068	0	1
2014.01.05	1.64109	1.65169	1.63374	1.64784	180480	0	1
2014.01.12	1.64867	1.65078	1.63090	1.64226	188751	0	1
2014.01.19	1.64148	1.66680	1.63953	1.64768	185926	0	1
2014.01.26	1.64754	1.66250	1.64271	1.64343	200066	0	1
2014.02.02	1.64296	1.64407	1.62519	1.64101	225697	0	1
2014.02.09	1.64080	1.67555	1.63829	1.67466	184380	0	1
2014.02.16	1.67579	1.68223	1.66125	1.66145	190337	0	1
2014.02.23	1.66323	1.67684	1.65831	1.67398	198788	0	1
2014.03.02	1.67414	1.67855	1.66403	1.67114	206202	0	1
2014.03.09	1.67210	1.67410	1.65681	1.66464	349892	0	1
2014.03.16	1.66344	1.66657	1.64752	1.64852	326235	0	1
2014.03.23	1.64853	1.66511	1.64652	1.66378	351611	0	1
2014.03.30	1.66422	1.66837	1.65536	1.65712	339377	0	1
2014.04.06	1.65713	1.68201	1.65654	1.67304	249548	0	1
2014.04.13	1.67369	1.68417	1.66600	1.67886	186381	0	1
2014.04.20	1.68009	1.68390	1.67623	1.67977	169563	0	1
2014.04.27	1.68025	1.69195	1.67772	1.68685	205731	0	1
2014.05.04	1.68743	1.69961	1.68317	1.68472	234390	0	1
2014.05.11	1.68469	1.69029	1.67316	1.68100	210831	0	1
2014.05.18	1.68227	1.69201	1.68019	1.68300	171787	0	1
2014.05.25	1.68337	1.68816	1.66925	1.67505	153132	0	1
2014.06.01	1.67599	1.68454	1.66988	1.67997	221643	0	1
2014.06.08	1.68083	1.69913	1.67378	1.69634	216974	0	1
2014.06.15	1.69752	1.70626	1.69195	1.70138	222219	0	1
2014.06.22	1.70129	1.70507	1.69515	1.70321	232540	0	16
2014.06.29	1.70283	1.71786	1.70078	1.71577	221096	0	16
2014.07.06	1.71664	1.71669	1.70845	1.71049	205427	0	16
2014.07.13	1.71199	1.71904	1.70363	1.70824	238997	0	16
2014.07.20	1.70851	1.70986	1.69605	1.69711	231911	0	15
2014.07.27	1.69758	1.70002	1.68156	1.68221	247025	0	16
2014.08.03	1.68298	1.68872	1.67655	1.67703	239363	0	16
2014.08.10	1.67719	1.68371	1.66562	1.66902	321906	0	0
2014.08.17	1.67294	1.67365	1.65602	1.65638	318480	0	0
2014.08.24	1.65438	1.66125	1.65349	1.65996	294110	0	0
2014.08.31	1.65911	1.66428	1.62805	1.63289	320033	0	0
2014.09.07	1.61752	1.62759	1.60509	1.62649	307622	0	0
2014.09.14	1.62738	1.65232	1.61609	1.62859	449797	0	0
2014.09.21	1.63037	1.64144	1.62368	1.62408	329047	0	0
2014.09.28	1.62306	1.62861	1.59507	1.59668	365382	0	0
2014.10.05	1.59572	1.62254	1.59528	1.60755	328448	0	0
2014.10.12	1.60692	1.61251	1.58736	1.60895	477074	0	0
2014.10.19	1.61040	1.61830	1.59934	1.60853	428146	0	0
2014.10.26	1.60824	1.61815	1.59414	1.59927	400480	0	0
2014.11.02	1.59605	1.60206	1.57890	1.58673	499254	0	0
2014.11.09	1.58813	1.59437	1.55917	1.56662	438188	0	0
2014.11.16	1.56794	1.57363	1.55888	1.56484	479087	0	0
2014.11.23	1.56337	1.58246	1.56127	1.56491	463718	0	0
2014.11.30	1.56470	1.57627	1.55679	1.55846	519278	0	0
2014.12.07	1.55674	1.57557	1.55401	1.57195	553426	0	22
2014.12.14	1.57137	1.57847	1.55432	1.56189	492764	0	21
2014.12.21	1.56201	1.56642	1.54847	1.55561	186999	0	22
2014.12.28	1.55581	1.56192	1.53247	1.53250	229062	0	22
2015.01.04	1.52978	1.53183	1.50332	1.51590	494265	0	22
2015.01.11	1.51750	1.52682	1.50738	1.51387	594326	0	22
2015.01.18	1.51286	1.52114	1.49499	1.49853	557062	0	23
2015.01.25	1.50073	1.52222	1.49856	1.50448	549510	0	23
2015.02.01	1.50912	1.53516	1.49877	1.52459	535992	0	20
2015.02.08	1.52235	1.54212	1.51956	1.53994	516761	0	20
2015.02.15	1.54150	1.54791	1.53153	1.53956	488274	0	20
2015.02.22	1.53922	1.55514	1.53315	1.54340	489214	0	20
2015.03.01	1.54159	1.54277	1.50311	1.50396	464872	0	18
2015.03.08	1.50371	1.51361	1.46984	1.47400	623321	0	18
2015.03.15	1.47340	1.51638	1.46341	1.49483	661101	0	20
2015.03.22	1.49693	1.49930	1.47956	1.48665	656474	0	20
2015.03.29	1.48832	1.49442	1.47386	1.49136	516904	0	4
2015.04.05	1.49138	1.49805	1.45861	1.46292	484491	0	20
2015.04.12	1.46156	1.50528	1.45648	1.49606	601441	0	20
2015.04.19	1.49541	1.51868	1.48553	1.51842	570968	0	20
2015.04.26	1.51723	1.54976	1.51059	1.51334	608119	0	20
2015.05.03	1.51392	1.55214	1.50880	1.54368	665435	0	20
2015.05.10	1.54421	1.58138	1.53922	1.57221	565101	0	20
2015.05.17	1.57388	1.57440	1.54457	1.54827	596719	0	20
2015.05.24	1.54699	1.55069	1.52357	1.52858	560860	0	20
2015.05.31	1.52912	1.54403	1.51694	1.52657	628340	0	20
2015.06.07	1.52537	1.55971	1.52205	1.55625	603595	0	20
2015.06.14	1.55476	1.59296	1.54866	1.58742	537930	0	17
2015.06.21	1.58691	1.59090	1.56659	1.57484	507596	0	20
2015.06.28	1.56858	1.57880	1.55553	1.55734	583014	0	20
2015.07.05	1.55439	1.56276	1.53293	1.55108	595159	0	20
2015.07.12	1.54914	1.56745	1.54498	1.56041	563325	0	20
2015.07.19	1.55973	1.56698	1.54658	1.55101	502925	0	23
2015.07.26	1.55103	1.56887	1.54894	1.56216	565709	0	23
2015.08.02	1.56306	1.56502	1.54238	1.54880	583716	0	22
2015.08.09	1.54856	1.56590	1.54573	1.56448	576466	0	22
2015.08.16	1.56511	1.57222	1.55613	1.56869	554823	0	22
2015.08.23	1.56753	1.58180	1.53340	1.53916	735911	0	22
2015.08.30	1.54082	1.54358	1.51625	1.51684	490803	0	22
2015.09.06	1.51754	1.54751	1.51703	1.54255	456460	0	22
2015.09.13	1.54281	1.56577	1.53287	1.55234	424768	0	20
2015.09.20	1.55225	1.55670	1.51343	1.51811	463035	0	20
2015.09.27	1.51873	1.52404	1.51059	1.51769	454798	0	20
2015.10.04	1.51878	1.53825	1.51358	1.53077	440292	0	20
2015.10.11	1.53114	1.55077	1.51994	1.54402	460950	0	20
2015.10.18	1.54376	1.55067	1.53051	1.53107	426071	0	20
2015.10.25	1.53151	1.54667	1.52413	1.54257	455920	0	20
2015.11.01	1.54494	1.54966	1.50263	1.50464	453125	0	20
2015.11.08	1.50495	1.52637	1.50392	1.52355	415374	0	20
2015.11.15	1.52242	1.53348	1.51537	1.51908	426297	0	20
2015.11.22	1.51748	1.51959	1.50291	1.50291	444481	0	20
2015.11.29	1.50320	1.51579	1.48939	1.51038	531486	0	20
2015.12.06	1.50981	1.52387	1.49557	1.52200	476197	0	20
2015.12.13	1.52282	1.52297	1.48641	1.48911	528849	0	18
2015.12.20	1.48965	1.49441	1.48044	1.49257	294275	0	20
2015.12.27	1.49052	1.49339	1.47323	1.47335	259950	0	20
2016.01.03	1.47337	1.48153	1.45052	1.45113	521766	0	20
2016.01.10	1.45225	1.46034	1.42506	1.42573	538117	0	20
2016.01.17	1.42509	1.43618	1.40787	1.42651	573061	0	20
2016.01.24	1.42673	1.44124	1.41484	1.42423	577632	0	20
2016.01.31	1.42462	1.46677	1.42271	1.44959	590744	0	0
2016.02.07	1.44792	1.45776	1.43509	1.45053	751676	0	20
2016.02.14	1.44862	1.45344	1.42341	1.43944	660421	0	20
2016.02.21	1.42616	1.43055	1.38531	1.38704	710740	0	20
2016.02.28	1.38567	1.42477	1.38348	1.42297	648614	0	20
2016.03.06	1.42175	1.44355	1.41171	1.43804	595350	0	20
2016.03.13	1.43711	1.45134	1.40520	1.44754	564825	0	20
2016.03.20	1.44543	1.44669	1.40562	1.41320	429103	0	20
2016.03.27	1.41301	1.44582	1.41193	1.42285	500198	0	20
2016.04.03	1.42202	1.43207	1.40044	1.41220	540716	0	20
2016.04.10	1.41089	1.43469	1.40896	1.42005	494971	0	20
2016.04.17	1.41936	1.44509	1.41304	1.44024	496359	0	20
2016.04.24	1.44609	1.46696	1.44017	1.46093	538103	0	20
2016.05.01	1.45808	1.47686	1.44140	1.44265	580534	0	18
2016.05.08	1.44146	1.45300	1.43394	1.43593	503119	0	17
2016.05.15	1.43481	1.46628	1.43315	1.44994	528597	0	20
2016.05.22	1.45021	1.47387	1.44414	1.46178	518558	0	20
2016.05.29	1.46061	1.47237	1.43849	1.45104	561146	0	20
2016.06.05	1.44628	1.46590	1.41788	1.42460	525374	0	17
2016.06.12	1.42670	1.43867	1.40115	1.43509	612446	0	19
2016.06.19	1.44699	1.50157	1.32245	1.36737	831078	0	19
2016.06.26	1.34216	1.35322	1.31190	1.32730	774746	0	19
2016.07.03	1.32456	1.33394	1.27943	1.29539	596331	0	19
2016.07.10	1.29491	1.34798	1.28494	1.31806	677639	0	19
2016.07.17	1.31948	1.33140	1.30635	1.31110	562470	0	19
2016.07.24	1.31441	1.33003	1.30559	1.32201	546380	0	19
2016.07.31	1.32382	1.33709	1.30203	1.30626	496401	0	19
2016.08.07	1.30726	1.30960	1.29024	1.29155	415256	0	19
2016.08.14	1.29202	1.31842	1.28649	1.30765	483210	0	19
2016.08.21	1.30510	1.32777	1.30335	1.31287	475888	0	19
2016.08.28	1.31094	1.33516	1.30583	1.32937	490209	0	19
2016.09.04	1.32925	1.34441	1.32383	1.32660	511654	0	19
2016.09.11	1.32626	1.33458	1.29962	1.29989	590041	0	19
2016.09.18	1.29952	1.31200	1.29141	1.29627	564413	0	19
2016.09.25	1.29632	1.30573	1.29152	1.29776	505949	0	19
2016.10.02	1.29111	1.29453	1.20257	1.24289	657446	0	19
