<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.07.29	1.10589	1.10832	1.09663	1.09826	110257	0	16
2015.07.30	1.09830	1.09886	1.08924	1.09312	110565	0	16
2015.07.31	1.09313	1.11134	1.09204	1.09828	129061	0	16
2015.08.03	1.09704	1.09952	1.09405	1.09494	101407	0	16
2015.08.04	1.09489	1.09868	1.08783	1.08802	109747	0	16
2015.08.05	1.08801	1.09374	1.08474	1.09049	114336	0	16
2015.08.06	1.09049	1.09428	1.08729	1.09243	97687	0	16
2015.08.07	1.09240	1.09775	1.08545	1.09624	109358	0	16
2015.08.10	1.09627	1.10407	1.09246	1.10177	97862	0	16
2015.08.11	1.10185	1.10875	1.09598	1.10409	133469	0	16
2015.08.12	1.10410	1.12132	1.10236	1.11565	137879	0	16
2015.08.13	1.11566	1.11882	1.10792	1.11491	108029	0	16
2015.08.14	1.11485	1.11880	1.10971	1.11104	102175	0	16
2015.08.17	1.11156	1.11241	1.10579	1.10767	94614	0	16
2015.08.18	1.10767	1.10931	1.10163	1.10209	88078	0	16
2015.08.19	1.10287	1.11336	1.10167	1.11187	112771	0	16
2015.08.20	1.11187	1.12440	1.11062	1.12411	115790	0	16
2015.08.21	1.12407	1.13878	1.12285	1.13846	142532	0	16
2015.08.24	1.13739	1.17132	1.13686	1.16177	234953	0	16
2015.08.25	1.16174	1.16211	1.13954	1.15157	203696	0	16
2015.08.26	1.15159	1.15607	1.12907	1.13126	191483	0	16
2015.08.27	1.13133	1.13637	1.12022	1.12448	143472	0	16
2015.08.28	1.12441	1.13090	1.11552	1.11800	119150	0	16
2015.08.31	1.11708	1.12618	1.11688	1.12100	100020	0	16
2015.09.01	1.12096	1.13314	1.12075	1.13140	143138	0	16
2015.09.02	1.13140	1.13188	1.12157	1.12264	128626	0	16
2015.09.03	1.12265	1.12427	1.10864	1.11217	120103	0	16
2015.09.04	1.11218	1.11875	1.10906	1.11499	125955	0	16
2015.09.07	1.11637	1.11769	1.11207	1.11686	82234	0	16
2015.09.08	1.11690	1.12287	1.11517	1.12016	108626	0	16
2015.09.09	1.12017	1.12155	1.11309	1.12060	113092	0	16
2015.09.10	1.12063	1.12946	1.11709	1.12787	133311	0	16
2015.09.11	1.12792	1.13487	1.12534	1.13333	112527	0	16
2015.09.14	1.13300	1.13724	1.12827	1.13156	89914	0	16
2015.09.15	1.13157	1.13281	1.12576	1.12686	98187	0	16
2015.09.16	1.12688	1.13198	1.12133	1.12886	93050	0	16
2015.09.17	1.12885	1.14405	1.12838	1.14332	115905	0	16
2015.09.18	1.14334	1.14596	1.12687	1.12982	125224	0	16
2015.09.21	1.12798	1.13296	1.11805	1.11884	99869	0	16
2015.09.22	1.11882	1.12068	1.11125	1.11189	100833	0	16
2015.09.23	1.11189	1.12127	1.11044	1.11847	107751	0	16
2015.09.24	1.11843	1.12952	1.11638	1.12289	123500	0	16
2015.09.25	1.12289	1.12333	1.11154	1.11960	122547	0	16
2015.09.28	1.11841	1.12469	1.11458	1.12433	114695	0	16
2015.09.29	1.12432	1.12807	1.11931	1.12483	123656	0	16
2015.09.30	1.12483	1.12606	1.11564	1.11753	106046	0	16
2015.10.01	1.11754	1.12083	1.11342	1.11935	100368	0	16
2015.10.02	1.11936	1.13176	1.11496	1.12089	126393	0	16
2015.10.05	1.12163	1.12885	1.11727	1.11870	111135	0	16
2015.10.06	1.11872	1.12788	1.11711	1.12710	97667	0	16
2015.10.07	1.12719	1.12834	1.12107	1.12370	104691	0	16
2015.10.08	1.12365	1.13265	1.12338	1.12752	101017	0	16
2015.10.09	1.12752	1.13864	1.12663	1.13584	104531	0	16
2015.10.12	1.13604	1.13961	1.13533	1.13572	65344	0	16
2015.10.13	1.13571	1.14103	1.13435	1.13781	88491	0	16
2015.10.14	1.13781	1.14883	1.13766	1.14728	98793	0	16
2015.10.15	1.14725	1.14944	1.13623	1.13791	110486	0	16
2015.10.16	1.13822	1.13946	1.13335	1.13492	90204	0	16
2015.10.19	1.13561	1.13782	1.13050	1.13250	84099	0	16
2015.10.20	1.13258	1.13863	1.13232	1.13451	73905	0	16
2015.10.21	1.13446	1.13767	1.13334	1.13379	73903	0	16
2015.10.22	1.13379	1.13504	1.10995	1.11076	115243	0	16
2015.10.23	1.11077	1.11390	1.09959	1.10163	122099	0	16
2015.10.25	1.09980	1.10078	1.09980	1.10068	657	0	16
2015.10.26	1.10066	1.10676	1.10032	1.10524	87096	0	16
2015.10.27	1.10521	1.10780	1.10295	1.10456	89462	0	16
2015.10.28	1.10448	1.10951	1.08961	1.09266	109921	0	16
2015.10.29	1.09265	1.09859	1.09019	1.09854	107211	0	16
2015.10.30	1.09850	1.10718	1.09648	1.10028	123933	0	16
2015.11.02	1.10338	1.10518	1.09995	1.10150	86113	0	16
2015.11.03	1.10150	1.10294	1.09354	1.09620	85508	0	16
2015.11.04	1.09624	1.09671	1.08434	1.08644	103590	0	16
2015.11.05	1.08647	1.08966	1.08330	1.08830	104443	0	16
2015.11.06	1.08827	1.08930	1.07054	1.07426	106450	0	16
2015.11.09	1.07274	1.07893	1.07189	1.07505	97827	0	16
2015.11.10	1.07505	1.07633	1.06735	1.07233	98490	0	16
2015.11.11	1.07234	1.07729	1.07050	1.07424	89139	0	16
2015.11.12	1.07424	1.08292	1.06904	1.08126	129198	0	16
2015.11.13	1.08127	1.08161	1.07133	1.07689	113951	0	16
2015.11.16	1.07381	1.07573	1.06738	1.06855	102994	0	16
2015.11.17	1.06855	1.06899	1.06299	1.06408	103874	0	16
2015.11.18	1.06409	1.06918	1.06162	1.06586	94217	0	16
2015.11.19	1.06586	1.07623	1.06546	1.07329	113233	0	16
2015.11.20	1.07328	1.07375	1.06391	1.06460	99120	0	16
2015.11.23	1.06363	1.06560	1.05919	1.06351	98901	0	16
2015.11.24	1.06352	1.06725	1.06188	1.06420	104485	0	16
2015.11.25	1.06421	1.06884	1.05651	1.06237	114724	0	16
2015.11.26	1.06238	1.06267	1.05992	1.06096	62350	0	16
2015.11.27	1.06086	1.06373	1.05678	1.05915	78896	0	16
2015.11.30	1.05879	1.05944	1.05572	1.05638	85231	0	16
2015.12.01	1.05640	1.06364	1.05621	1.06313	96934	0	16
2015.12.02	1.06314	1.06357	1.05500	1.06138	103166	0	16
2015.12.03	1.06136	1.09804	1.05209	1.09388	155269	0	16
2015.12.04	1.09387	1.09554	1.08353	1.08761	152370	0	16
2015.12.07	1.08706	1.08868	1.07952	1.08363	91782	0	16
2015.12.08	1.08364	1.09018	1.08293	1.08906	98358	0	16
2015.12.09	1.08910	1.10423	1.08785	1.10243	124176	0	16
2015.12.10	1.10244	1.10244	1.09243	1.09396	107977	0	16
2015.12.11	1.09397	1.10304	1.09257	1.09919	125074	0	16
2015.12.14	1.09828	1.10479	1.09448	1.09904	129857	0	16
2015.12.15	1.09904	1.10589	1.09039	1.09274	119710	0	16
2015.12.16	1.09290	1.10112	1.08872	1.09104	138615	0	14
2015.12.17	1.09104	1.09132	1.08018	1.08248	117154	0	16
2015.12.18	1.08249	1.08738	1.08041	1.08665	126517	0	16
2015.12.21	1.08514	1.09382	1.08457	1.09140	94764	0	16
2015.12.22	1.09138	1.09833	1.09016	1.09556	87112	0	16
2015.12.23	1.09557	1.09564	1.08690	1.09090	73037	0	16
2015.12.24	1.09087	1.09671	1.09027	1.09494	42806	0	16
2015.12.28	1.09502	1.09917	1.09480	1.09660	53510	0	16
2015.12.29	1.09661	1.09909	1.08983	1.09186	65505	0	16
2015.12.30	1.09186	1.09430	1.09010	1.09309	67851	0	16
2015.12.31	1.09310	1.09363	1.08521	1.08601	48891	0	16
2016.01.04	1.08712	1.09457	1.07803	1.08301	114648	0	16
2016.01.05	1.08295	1.08380	1.07099	1.07475	93763	0	16
