<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.01.06	0.81338	0.82858	0.81043	0.82699	461209	0	5
2013.01.13	0.82852	0.83961	0.82643	0.83906	488056	0	5
2013.01.20	0.83957	0.85361	0.83632	0.85168	453630	0	5
2013.01.27	0.85307	0.87158	0.85259	0.86897	475559	0	5
2013.02.03	0.86899	0.86923	0.84458	0.84516	487460	0	5
2013.02.10	0.84663	0.86831	0.84558	0.86063	462706	0	3
2013.02.17	0.86119	0.87640	0.85999	0.86974	453296	0	3
2013.02.24	0.87310	0.88146	0.85748	0.86560	546953	0	3
2013.03.03	0.86573	0.87419	0.85888	0.87093	130624	0	2
2013.03.10	0.87121	0.87934	0.86020	0.86492	196378	0	1
2013.03.17	0.85406	0.86008	0.84842	0.85255	250409	0	1
2013.03.24	0.85140	0.85608	0.84154	0.84269	214987	0	1
2013.03.31	0.84287	0.85209	0.84102	0.84706	205121	0	1
2013.04.07	0.84736	0.85599	0.84626	0.85427	223636	0	1
2013.04.14	0.85403	0.86363	0.85031	0.85667	258731	0	4
2013.04.21	0.85787	0.85895	0.83973	0.84171	252411	0	3
2013.04.28	0.84329	0.84971	0.84039	0.84185	209836	0	1
2013.05.05	0.84242	0.84884	0.84003	0.84531	202376	0	1
2013.05.12	0.84501	0.85164	0.84208	0.84611	251998	0	1
2013.05.19	0.84542	0.85972	0.84398	0.85471	283535	0	1
2013.05.26	0.85490	0.85981	0.85282	0.85485	311636	0	3
2013.06.02	0.85472	0.85586	0.84765	0.84918	352758	0	3
2013.06.09	0.84932	0.85506	0.84688	0.84940	350412	0	3
2013.06.16	0.84950	0.85903	0.84756	0.85070	319638	0	3
2013.06.23	0.85125	0.85899	0.84688	0.85486	325428	0	3
2013.06.30	0.85568	0.86327	0.84816	0.86130	272415	0	3
2013.07.07	0.86164	0.86937	0.85749	0.86457	303025	0	3
2013.07.14	0.86464	0.87107	0.85897	0.86018	262991	0	1
2013.07.21	0.86053	0.86437	0.85818	0.86293	240557	0	1
2013.07.28	0.86307	0.87692	0.86212	0.86811	260544	0	1
2013.08.04	0.86890	0.87308	0.85784	0.86052	243988	0	1
2013.08.11	0.86004	0.86096	0.85047	0.85250	235578	0	1
2013.08.18	0.85301	0.86031	0.85094	0.85932	227100	0	1
2013.08.25	0.85902	0.86519	0.85192	0.85209	208592	0	1
2013.09.01	0.85120	0.85203	0.83921	0.84283	189947	0	1
2013.09.08	0.84268	0.84532	0.83564	0.83710	173710	0	1
2013.09.15	0.83841	0.84596	0.83523	0.84453	192893	0	1
2013.09.22	0.84575	0.84588	0.83619	0.83776	172221	0	1
2013.09.29	0.83531	0.84754	0.83325	0.84662	200644	0	1
2013.10.06	0.84627	0.85091	0.84247	0.84800	167212	0	1
2013.10.13	0.84885	0.84959	0.84301	0.84629	176993	0	1
2013.10.20	0.84594	0.85549	0.84504	0.85366	175366	0	1
2013.10.27	0.85371	0.85847	0.84445	0.84660	202762	0	1
2013.11.03	0.84700	0.84767	0.83001	0.83405	194714	0	1
2013.11.10	0.83438	0.84632	0.83387	0.83715	208640	0	1
2013.11.17	0.83691	0.84145	0.83164	0.83533	211177	0	1
2013.11.24	0.83470	0.83909	0.82970	0.82997	181209	0	1
2013.12.01	0.82969	0.83886	0.82524	0.83813	219447	0	1
2013.12.08	0.83864	0.84402	0.83503	0.84265	184149	0	1
2013.12.15	0.84229	0.84663	0.83302	0.83630	195380	0	1
2013.12.22	0.83733	0.83918	0.83290	0.83380	106138	0	1
2013.12.29	0.83452	0.83728	0.82698	0.82740	156376	0	1
2014.01.05	0.82846	0.83313	0.82303	0.82877	195954	0	1
2014.01.12	0.82885	0.83485	0.82338	0.82426	194264	0	1
2014.01.19	0.82426	0.83003	0.81680	0.82949	191549	0	1
2014.01.26	0.83015	0.83058	0.81881	0.81992	205546	0	1
2014.02.02	0.82072	0.83496	0.82022	0.83070	235129	0	1
2014.02.09	0.83014	0.83365	0.81742	0.81748	192823	0	1
2014.02.16	0.81752	0.82678	0.81574	0.82678	187110	0	1
2014.02.23	0.82597	0.82860	0.81906	0.82427	194117	0	1
2014.03.02	0.82320	0.83007	0.82036	0.82993	194096	0	1
2014.03.09	0.82975	0.83804	0.82915	0.83562	322134	0	1
2014.03.16	0.83594	0.83998	0.83283	0.83642	306959	0	1
2014.03.23	0.83650	0.83929	0.82457	0.82635	326955	0	1
2014.03.30	0.82623	0.83141	0.82494	0.82641	307026	0	1
2014.04.06	0.82662	0.83096	0.82309	0.82977	240377	0	1
2014.04.13	0.82777	0.82839	0.82145	0.82214	177418	0	1
2014.04.20	0.82230	0.82459	0.81977	0.82322	161544	0	1
2014.04.27	0.82341	0.82587	0.81961	0.82192	206094	0	1
2014.05.04	0.82199	0.82482	0.81605	0.81624	217010	0	1
2014.05.11	0.81654	0.81833	0.81265	0.81432	199254	0	1
2014.05.18	0.81419	0.81579	0.80815	0.80950	224587	0	1
2014.05.25	0.80929	0.81520	0.80847	0.81365	136295	0	1
2014.06.01	0.81325	0.81495	0.80644	0.81174	196057	0	1
2014.06.08	0.81176	0.81222	0.79719	0.79794	182981	0	1
2014.06.15	0.79746	0.80248	0.79588	0.79921	186694	0	1
2014.06.22	0.79843	0.80329	0.79759	0.80068	152863	0	18
2014.06.29	0.80035	0.80266	0.79185	0.79188	139616	0	18
2014.07.06	0.79152	0.79676	0.79141	0.79479	125941	0	18
2014.07.13	0.79400	0.79799	0.78878	0.79133	142922	0	16
2014.07.20	0.79133	0.79384	0.78732	0.79041	132362	0	16
2014.07.27	0.79081	0.79841	0.79034	0.79750	143186	0	16
2014.08.03	0.79765	0.79964	0.79147	0.79929	150027	0	16
2014.08.10	0.79877	0.80351	0.79226	0.80234	257417	0	0
2014.08.17	0.79998	0.80265	0.79690	0.79867	252562	0	0
2014.08.24	0.79694	0.79782	0.79086	0.79094	242318	0	7
2014.08.31	0.79109	0.79948	0.78905	0.79306	270621	0	0
2014.09.07	0.80074	0.80647	0.79391	0.79667	267060	0	4
2014.09.14	0.79671	0.80084	0.78085	0.78757	376458	0	0
2014.09.21	0.78666	0.78883	0.77841	0.78058	279248	0	0
2014.09.28	0.78041	0.78597	0.77653	0.78362	311217	0	2
2014.10.05	0.78339	0.78988	0.78273	0.78502	301605	0	0
2014.10.12	0.78545	0.80454	0.78516	0.79270	401596	0	0
2014.10.19	0.79119	0.79409	0.78699	0.78736	369664	0	0
2014.10.26	0.78771	0.79108	0.78223	0.78279	363435	0	0
2014.11.02	0.78287	0.78631	0.77982	0.78461	449049	0	0
2014.11.09	0.78496	0.79991	0.78010	0.79911	392659	0	0
2014.11.16	0.79857	0.80379	0.79053	0.79135	433650	0	0
2014.11.23	0.79050	0.79697	0.78962	0.79531	395364	0	0
2014.11.30	0.79576	0.79758	0.78317	0.78810	386578	0	15
2014.12.07	0.78780	0.79533	0.78438	0.79227	404233	0	18
2014.12.14	0.79258	0.80058	0.78119	0.78281	406804	0	18
2014.12.21	0.78160	0.78668	0.78154	0.78245	171260	0	18
2014.12.28	0.78182	0.78524	0.77441	0.78279	210270	0	18
2015.01.04	0.78067	0.78739	0.77838	0.78067	421064	0	18
2015.01.11	0.78037	0.78297	0.75946	0.76271	576206	0	18
2015.01.18	0.76283	0.77135	0.74271	0.74720	570520	0	18
2015.01.25	0.74288	0.75356	0.74038	0.74960	551741	0	17
2015.02.01	0.74837	0.75914	0.74164	0.74176	526097	0	15
2015.02.08	0.74157	0.74584	0.73710	0.73908	509782	0	15
2015.02.15	0.73825	0.74431	0.73394	0.73877	506297	0	14
2015.02.22	0.73958	0.74048	0.72454	0.72509	482917	0	15
2015.03.01	0.72492	0.73010	0.71805	0.72093	479685	0	15
2015.03.08	0.72011	0.72190	0.70134	0.71176	645910	0	13
2015.03.15	0.70827	0.72927	0.70827	0.72281	698744	0	15
2015.03.22	0.72344	0.73843	0.72271	0.73184	708562	0	15
2015.03.29	0.73101	0.73787	0.72218	0.73535	537246	0	15
2015.04.05	0.73554	0.73780	0.72233	0.72463	491610	0	15
2015.04.12	0.72353	0.72695	0.71631	0.72179	617593	0	15
2015.04.19	0.72276	0.72330	0.71166	0.71591	561033	0	15
2015.04.26	0.71515	0.74186	0.71285	0.73948	598271	0	15
2015.05.03	0.73850	0.74825	0.72242	0.72592	631304	0	15
2015.05.10	0.72477	0.72820	0.71224	0.72780	543457	0	15
2015.05.17	0.72665	0.72828	0.70890	0.71053	565961	0	15
2015.05.24	0.71068	0.72008	0.70548	0.71888	534706	0	15
2015.05.31	0.71762	0.73859	0.71451	0.72766	618606	0	15
2015.06.07	0.72684	0.73884	0.71955	0.72353	572961	0	15
2015.06.14	0.72076	0.72502	0.71246	0.71453	498361	0	15
2015.06.21	0.71633	0.72103	0.70737	0.70907	456417	0	12
2015.06.28	0.70114	0.71670	0.69873	0.71298	522046	0	12
2015.07.05	0.70691	0.72232	0.70550	0.71826	591951	0	10
2015.07.12	0.71532	0.72014	0.69355	0.69364	530289	0	14
2015.07.19	0.69432	0.71015	0.69373	0.70732	550337	0	12
2015.07.26	0.70757	0.71599	0.69844	0.70269	581856	0	14
2015.08.02	0.70174	0.70948	0.69501	0.70753	547200	0	14
2015.08.09	0.70733	0.71696	0.70382	0.70978	543379	0	14
2015.08.16	0.70963	0.72589	0.70256	0.72512	536222	0	14
2015.08.23	0.72505	0.74218	0.72446	0.72618	836389	0	14
2015.08.30	0.72437	0.73946	0.72424	0.73488	596403	0	15
2015.09.06	0.73534	0.73565	0.72396	0.73458	476957	0	15
2015.09.13	0.73404	0.73586	0.72620	0.72739	441742	0	15
2015.09.20	0.72637	0.74105	0.71958	0.73736	474581	0	15
2015.09.27	0.73590	0.74419	0.73350	0.73818	487844	0	15
2015.10.04	0.73778	0.74293	0.73322	0.74183	506347	0	15
2015.10.11	0.74164	0.74922	0.73377	0.73482	429898	0	15
2015.10.18	0.73535	0.73727	0.71677	0.71944	425518	0	15
2015.10.25	0.71794	0.72492	0.71229	0.71297	496776	0	15
2015.11.01	0.71325	0.71964	0.70410	0.71370	480493	0	15
2015.11.08	0.71241	0.71535	0.70399	0.70673	490576	0	15
2015.11.15	0.70456	0.70786	0.69818	0.70071	474264	0	15
2015.11.22	0.69978	0.70794	0.69912	0.70464	431287	0	15
2015.11.29	0.70397	0.72507	0.70062	0.71908	553207	0	15
2015.12.06	0.71922	0.72786	0.71632	0.72152	504425	0	15
2015.12.13	0.72112	0.73058	0.72060	0.72956	565215	0	14
2015.12.20	0.72759	0.74154	0.72759	0.73349	277630	0	15
2015.12.27	0.73335	0.74080	0.73179	0.73700	237598	0	15
